trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': -0.5477292602242684}",35,16,31.491203226022904,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': -0.8817917275413242}",25,12,-18.87403985013045,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': -0.9999608263946371}",30,15,4.556211091909934,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
45,False,"{'a': 0.5, 'e': -0.8733046400935156}",20,7,-21.84283020449129,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': -0.5328330203333975}",20,13,-28.508709285701308,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
47,False,"{'a': 0.5, 'e': -0.061905293994420546}",20,4,1.4363884797762314,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.424179007336997}",20,0,-170.51190364191126,"{0: 10, 1: 5, 2: 1, 3: 1, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.8064094939122546}",30,0,-184.0913631554032,"{0: 14, 1: 2, 2: 11, 3: 2, 4: 1}",0
50,False,"{'a': 0.5, 'e': 0.9912028118634736}",20,0,-189.58176793219243,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
51,False,"{'a': 0.5, 'e': 0.933315112063922}",20,0,-117.30553278453945,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
52,False,"{'a': 0.5, 'e': 0.6469193223286404}",20,0,-64.30456175924998,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.20213512038718198}",35,0,-198.55133881354004,"{0: 22, 1: 3, 2: 6, 3: 1, 4: 3}",1
54,False,"{'a': 0.5, 'e': -0.2921388087338362}",25,7,29.707564148736473,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': -0.7148869687796651}",20,14,11.8036990183397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': -0.9626058663135666}",30,24,11.136166739859593,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': -0.9746452757206577}",30,18,22.900774488901646,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': -0.7480575296890003}",30,19,18.57451705467848,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': -0.3383192109710552}",30,21,15.308692896366578,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.15425144988758405}",20,6,-44.232893024771506,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
61,False,"{'a': 0.5, 'e': 0.6090559761063562}",25,0,-93.58144271868548,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9147423578045313}",25,0,-159.16816737390923,"{0: 12, 1: 1, 2: 9, 3: 2, 4: 1}",0
63,False,"{'a': 0.5, 'e': 0.9964679075571249}",25,0,-213.056829311343,"{0: 13, 1: 0, 2: 7, 3: 2, 4: 3}",0
64,False,"{'a': 0.5, 'e': 0.8342233605065102}",35,9,-101.62030372639082,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 2}",1
65,False,"{'a': 0.5, 'e': 0.4677318402470736}",25,1,-50.552838271003125,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 0}",1
66,False,"{'a': 0.5, 'e': -0.013276747223059479}",30,17,26.954319057419667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': -0.49103472393024045}",30,15,28.206576072393624,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': -0.8485702747846052}",20,14,12.897938298009024,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': -0.9983462274487422}",25,0,24.429729076701094,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': -0.9036922050915067}",25,13,-0.4095763583540204,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': -0.587782813560387}",25,0,38.313792529381345,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': -0.12796368962740468}",25,17,16.6566507630438,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.36318540841606234}",25,0,-93.83772256970451,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.7654140519453434}",20,0,-105.33364876505834,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
75,False,"{'a': 0.5, 'e': 0.9802426408101081}",25,0,-190.83392087356128,"{0: 11, 1: 4, 2: 6, 3: 2, 4: 2}",0
76,False,"{'a': 0.5, 'e': 0.9550736440472949}",20,0,-65.88089243445837,"{0: 10, 1: 5, 2: 5, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.6960693098638897}",25,0,-115.79974861141278,"{0: 12, 1: 6, 2: 6, 3: 0, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.26664293235993725}",20,0,-150.99116673446696,"{0: 11, 1: 1, 2: 4, 3: 2, 4: 2}",0
79,False,"{'a': 0.5, 'e': -0.22806693448309956}",20,16,7.847284799800121,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': -0.6669380616522619}",20,14,7.917571231959416,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': -0.9425194910508831}",30,22,14.391770066560012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': -0.9873392775238264}",20,2,26.211655541895347,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': -0.7904239741978156}",25,3,35.575262092890156,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
